,UserID,Name,Tweet,Mentions,Created At,Retweet,Likes,Location
0,Proddatur143,D.Jeelan(Dadagari) Fan's,"@djeelanbasha: #HappyIndependenceDay 
#HappyIndependenceday2022 
#azadikaamritmahotsav2022 
#HarGharTiranga https://t.co/077FSsV2ck",['D.Jeelan(Dadagari)'],2022-08-19 15:42:13+00:00,1,0,India
1,ChandavariEr,Er Rani Chandavari,"@BJPMM4UP: ""हर घर तिरंगा"" अभियान के निमित्त महिला मोर्चा प्रदेश अध्यक्ष एवं राज्यसभा सांसद आदरणीय @geetashakyaUP जी की अध्यक्षता में #अव…","['BJP Mahila Morcha, UP', 'Geeta Shakya🇮🇳']",2022-08-19 15:42:13+00:00,1,0,
2,NykbilaspurHP,NYK_BILASPUR_HP,@BijnorNyk: नेहरू युवा केन्द्र बिजनौर द्वारा हर घर तिरंगा अभियान के अंतर्गत मौ.पुर देवमल ब्लॉक में राष्ट्रीय स्वयंसेवक एकता द्वारा तिरं…,['NYK BIJNOR'],2022-08-19 15:42:12+00:00,1,0,
3,NykbilaspurHP,NYK_BILASPUR_HP,@YASMinistry: Some more glimpses of the #HarGharTiranga campaign carried out successfully by different #NSS units. https://t.co/A0oD5dZj…,['YAS Ministry'],2022-08-19 15:42:10+00:00,1,0,
4,NykbilaspurHP,NYK_BILASPUR_HP,@BandaNyk: नेहरू युवा केन्द्र बाँदा (उ.प्र) द्वारा हर घर तिरंगा अभियान के अंतर्गत 75 वे स्वतंत्रता दिवस को हर्षोल्लास के साथ मनाया।@ianu…,['NYK Banda'],2022-08-19 15:42:05+00:00,1,0,
5,SinghBollendro,Bollendro Singh,"@ToofaniBaba1: As part of Azadi Ka Amrit Mahotsav Celebrations and the National Har Ghar Tiranga Campaign, Anderwan Army Camp of Wussan…",['Kashmir Diaries'],2022-08-19 15:42:03+00:00,1,0,
6,ChandavariEr,Er Rani Chandavari,"@BJMM4TamilNadu: 'Vande Mataram Rally' was conducted by our @BJMM4TamilNadu
sisters across Tamilnadu from August 13th to 15th. 
Few high…","['BJP Mahila Morcha Tamil Nadu', 'BJP Mahila Morcha Tamil Nadu']",2022-08-19 15:41:59+00:00,1,0,
7,NykbilaspurHP,NYK_BILASPUR_HP,"@YuvaSbs: नेहरू युवा केंद्र, शहीद भगत सिंह नगर 
हर घर तिरंगा अभियान 
Har Ghar Tiranga 🇮🇳🇮🇳 
@Nyksindia
@YASMinistry
@NyksProgramme
@NITK…","['Nehru Yuva Kendra SBS Nagar', 'NYKS India', 'YAS Ministry', 'Director Programme NYKS']",2022-08-19 15:41:59+00:00,1,0,
8,kendruruka,Kendruruka Rajib,@BandaNyk: नेहरू युवा केन्द्र बाँदा (उ.प्र) द्वारा हर घर तिरंगा अभियान के अंतर्गत 75 वे स्वतंत्रता दिवस को हर्षोल्लास के साथ मनाया।@ianu…,['NYK Banda'],2022-08-19 15:41:54+00:00,1,0,@nyk koraput odisha india
9,YuvaSbs,Nehru Yuva Kendra SBS Nagar,"@nykrudraprayag: Namami Gange, Ganga doot Training .

@cleanganganmcg
@MoJSDoWRRDGR 
@ssjoshi4
#HARGHARTIRANGA
@Nyksindia @NITKM2021 @An…","['District Youth Officer, Nyk Rudraprayag', 'Namami Gange | #IndiaFightsCorona', 'Ministry of Jal Shakti 🇮🇳 #AmritMahotsav', 'S.S.Joshi RD (I/C)', 'NYKS India', 'Nitesh Kumar Mishra']",2022-08-19 15:41:52+00:00,1,0,Nawanshahr
10,NykbilaspurHP,NYK_BILASPUR_HP,"@Nyksindia: Har Ghar Tiranga aims to make every Indian feel proud of their nation.

#HarGharTiranga",['NYKS India'],2022-08-19 15:41:52+00:00,1,0,
11,NykbilaspurHP,NYK_BILASPUR_HP,@BijnorNyk: नेहरू युवा केन्द्र बिजनौर द्वारा हर घर तिरंगा अभियान के अंतर्गत नूरपुर ब्लॉक में युवा मंडल(राजा का ताजपुर) द्वारा रैली निकाल…,['NYK BIJNOR'],2022-08-19 15:41:48+00:00,1,0,
12,NykbilaspurHP,NYK_BILASPUR_HP,@BandaNyk: नेहरू युवा केन्द्र बाँदा (उ.प्र) द्वारा हर घर तिरंगा अभियान के अंतर्गत 75 वे स्वतंत्रता दिवस को हर्षोल्लास के साथ मनाया।@ianu…,['NYK Banda'],2022-08-19 15:41:38+00:00,1,0,
13,NykbilaspurHP,NYK_BILASPUR_HP,"@Nyksindia: Our Tri-color represents our vision.

#HarGharTiranga",['NYKS India'],2022-08-19 15:41:35+00:00,1,0,
14,JavedKh10037129,Javed Khan,"@SpaceKidzIndia: Celebrating 75 Years of Independence by unfurling the Indian Flag @ 30 km in Near Space.

@PMOIndia @narendramodi @DrJi…","['Space Kidz India', 'PMO India', 'Narendra Modi']",2022-08-19 15:41:33+00:00,1,0,
15,NykbilaspurHP,NYK_BILASPUR_HP,"@NyksChatra: Prabhat Pheri

#HarGharTiranga
#AzadiKaAmritMahotsav 
@YASMinistry 
@Nyksindia 
@ianuragthakur 
@NyksProgramme 
@NyksSo htt…","['Nehru Yuva Kendra Chatra (MOYAS,Govt. Of India)', 'YAS Ministry', 'NYKS India', 'Anurag Thakur', 'Director Programme NYKS', 'NYKS JHARKHAND SO']",2022-08-19 15:41:30+00:00,1,0,
16,ObcMandal,SARASWATI MANDAL OBC MORCHA GURUGRAM,"@ManishYadavBJP: विजयी विश्व तिरंगा प्यारा, झंडा ऊंचा रहे हमारा,
इसकी शान न जाने पाए, चाहे जान भले ही जाए।

माननीय PM श्री @narendramodi…","['Manish Yadav', 'Narendra Modi']",2022-08-19 15:41:29+00:00,1,0,
17,NARENDR57277742,NARENDRA MODI,"@BJP4Gujarat: આઝાદીના અમૃત મહોત્સવ નિમિત્તે મહેસાણા ખાતે કેબિનેટ મંત્રી શ્રી @Rushikeshmla , પ્રદેશ મહામંત્રી શ્રી @rajnipatel_mla અને…","['BJP Gujarat', 'Rushikesh Patel', 'Rajni Patel']",2022-08-19 15:41:12+00:00,1,0,
18,SanjayaGhadai1,SanjayaGhadai,@kissfoundation: #HarGharTiranga movement was celebrated with much zeal and vigour at KISS campus. Catch a glimpse of the lively perform…,['KISS - Kalinga Institute of Social Sciences'],2022-08-19 15:41:10+00:00,1,0,
19,NykbilaspurHP,NYK_BILASPUR_HP,"@NykHyderabad: Glimpses of Rally on #HarGharTiranga campaign conducted by NYK Hyderabad,  #Telangana in coordination with #NSS #NCC &amp; #T…",['NYK Hyderabad #AmritMahostav🇮🇳'],2022-08-19 15:41:09+00:00,1,0,
