,UserID,Name,Tweet,Mentions,Created At,Retweet,Likes,Location,Translated
0,tworrentt,tworrentt.nft,"@RishiSunak: With just one week to go, I'm getting my message out to @Conservatives members across the country

Watch the latest 'Rishi…","['Rishi Sunak', 'Conservatives']",2022-11-06 17:57:39+00:00,1,0,Lao People'S Democratic Republic,
1,tribxutedl,tribxutedl.eth,"@RishiSunak: ""I have been clear that the priority must be to support people with the cost of rising bills, ensuring they can heat their…",['Rishi Sunak'],2022-11-06 17:55:57+00:00,1,0,"Korea, Republic of",
2,yexovilpton,Yexovilpton.eth,"@Ready4Rishi: This evening is the final hustings of the @Conservatives leadership election

Tune in here at 7pm to watch Rishi live from…","['Ready 4 Rishi', 'Conservatives']",2022-11-06 17:22:59+00:00,1,0,Belize,
3,bgeakeri,bgeakeri.eth,"@RishiSunak: Voting is now closed 🗳

Thank you to all my colleagues, campaign team and, of course, all the members who came out to meet…",['Rishi Sunak'],2022-11-06 16:37:29+00:00,1,0,Guadeloupe,
4,braggserl,braggserl.eth,"@Ready4Rishi: 💬""We've got to look after the most vulnerable, the elderly in our society and that's what I will always do as PM""

Rishi i…",['Ready 4 Rishi'],2022-11-06 16:28:46+00:00,1,0,Germany,
5,cosmolgongist,cosmolgongist.nft,"@Ready4Rishi: 💬""It is inconceivable to me that she would ever have agreed to cut taxes at the present time.""

Margaret Thatcher's Direct…",['Ready 4 Rishi'],2022-11-06 15:09:34+00:00,1,0,Dominica,
6,giaddyl,giaddyl.eth,@Ready4Rishi: The best way to spread opportunity and reduce inequality in society is by providing every person with a world class educat…,['Ready 4 Rishi'],2022-11-06 14:33:31+00:00,1,0,RWANDA,
7,prekfabricdati1,prekfabricdation.crypto,"@RishiSunak: ""It seems clear to me that we cannot win the next election unless inflation and borrowing are under control and interest ra…",['Rishi Sunak'],2022-11-06 13:52:49+00:00,1,0,"Korea, Democratic People'S Republic of",
8,reseuatting,reseuatting.eth,"@Ready4Rishi: A great article by @NickGibbUK on Rishi's plan to make sure no child is left behind in our education system 👇

https://t.c…","['Ready 4 Rishi', 'Nick Gibb']",2022-11-06 13:40:08+00:00,1,0,French Southern Territories,
9,magslice00724,Butt Saab,#LizTruss hints at new cost of living support as Labour calls for plans to be public… Why hint! This is not the time to hunt… Give us the plan so we can see what #NewFantasyEconomics you are proposing! #Duping #Ready4Rishi ⁦⁩,[],2022-11-06 13:22:28+00:00,0,0,United States 🇺🇸,
10,wretschedcness,wretschedcness.nft,"@Ready4Rishi: This evening is the final hustings of the @Conservatives leadership election

Tune in here at 7pm to watch Rishi live from…","['Ready 4 Rishi', 'Conservatives']",2022-11-06 12:42:32+00:00,1,0,Sri Lanka,
11,zippeqrsw,zippeqrsw.crypto,"@RishiSunak: I will do whatever it takes to keep our country safe. 

#Ready4Rishi https://t.co/WhCoMBct8d",['Rishi Sunak'],2022-11-06 12:37:09+00:00,1,0,Mauritius,
12,amour_monde789,#birkapmamabirkapsu,"@RishiSunak: I will never let political correctness stand in the way of keeping you and your family safe. 

#Ready4Rishi https://t.co/Mv…",['Rishi Sunak'],2022-11-06 05:10:32+00:00,1,0,,
13,TokyoSanctuary,日本連合,"@Helen_Whately: Today is the last day of the #ConservativeLeadershipContest 

Throughout the campaign @RishiSunak has shown his grip of…","['Helen Whately', 'Rishi Sunak']",2022-11-06 05:08:09+00:00,1,0,吉田俊之,
14,TokyoSanctuary,日本連合,"@RishiSunak: Six weeks on the road and I’ve loved every second. 

Voting closes at 5pm today and every vote matters! #Ready4Rishi https:…",['Rishi Sunak'],2022-11-06 05:08:07+00:00,1,0,吉田俊之,
15,TokyoSanctuary,日本連合,"@RishiSunak: Voting is now closed 🗳

Thank you to all my colleagues, campaign team and, of course, all the members who came out to meet…",['Rishi Sunak'],2022-11-06 05:07:54+00:00,1,0,吉田俊之,
16,Lfort_Yam43,Eddie,Priorities in the right order from  ... tackle the cost of living - then cut taxes. Putting people who need most help first is the right thing to do. I'm so #Ready4Rishi,[],2022-11-06 02:35:42+00:00,0,0,Various Metaverses,
17,ArjunKu06770414,Sarad kumar Rajbhar,#ready4rishi  Aj kal ke log ye sab par kaha dhyan dete hai https://t.co/or71bAtThg,[],2022-11-06 01:28:54+00:00,0,1,"Uttar Pradesh, India",
18,helenmcollins2,helenmcollins2,@Minister_Cocoa: I see the appointment of Gavin Williamson is going as well as that if Braverman. I’m so #ready4rishi !!!!!,['Cocoa the Rabbit'],2022-11-05 22:22:58+00:00,1,0,,
19,Minister_Cocoa,Cocoa the Rabbit,I see the appointment of Gavin Williamson is going as well as that if Braverman. I’m so #ready4rishi !!!!!,[],2022-11-05 22:19:38+00:00,0,2,,
20,shaynaelora82,Marius,I’m talking now withtalking about what I would do to help people with the cost of living #Ready4Rishi,[],2022-11-05 21:43:26+00:00,0,0,"🌐 Low orbit of Earth, Solar",
21,alabamageisha,Cat 🚴🏼‍♀️🌞,#ready4rishi #twopoolsrishi @RishiSunak  @Conservatives https://t.co/JmyA7D93YO,"['Rishi Sunak', 'Conservatives']",2022-11-05 20:01:12+00:00,0,0,"İstanbul, Türkiye",
22,2gsddogs,2GSD'S,"@jacquep: Hey @JulianSmithUK
You were #ready4rishi
Doesn't look good, does it?","['Pascal Jacquemain 🇫🇷in🇬🇧 #BloodyMigrant', 'Julian Smith MP']",2022-11-05 19:55:16+00:00,1,0,,
23,thisismikedolan,Mike Dolan #FBPE #PATH #ForeverEUropean #FBPA,"@jacquep: Hey @JulianSmithUK
You were #ready4rishi
Doesn't look good, does it?","['Pascal Jacquemain 🇫🇷in🇬🇧 #BloodyMigrant', 'Julian Smith MP']",2022-11-05 19:49:15+00:00,1,0,"Cheshire, UK",
24,jacquep,Pascal Jacquemain 🇫🇷in🇬🇧 #BloodyMigrant,"Hey @JulianSmithUK
You were #ready4rishi
Doesn't look good, does it?",['Julian Smith MP'],2022-11-05 18:00:01+00:00,0,11,"North Yorkshire, UK",
25,fixed_scores01,💯% Fixed Guaranteed Surebet 🎉🎖️🏆⚽,"@fixed_scores01: Some People think we are here to play games😂😂😂🤷‍♂some are actually here to Make money

Betting and Winning is another b…",['💯% Fixed Guaranteed Surebet 🎉🎖️🏆⚽'],2022-11-05 17:29:12+00:00,1,0,"Federal Capital Territory, Nig",
26,xeeenu74,Z,Nadam Zahawi - Supports Liz Truss on TWITTER promoting LIZ as PM when it is so very important to work solutions for Cost of Living NOW   Nadham  - I'm doing that we're really focused on is what more do we need to do for January #Ready4Rishi #Liz4Leader,[],2022-11-05 14:46:08+00:00,0,0,"SF, CA",
27,ShibaINUArmyUK,Genji 🕉,@BeliveinCrypto #ready4rishi,['Ravi ♑️'],2022-11-05 12:35:01+00:00,0,1,,
28,yarmouthfj,Yarmouthfj.eth,"@RishiSunak: I will do whatever it takes to keep our country safe. 

#Ready4Rishi https://t.co/WhCoMBct8d",['Rishi Sunak'],2022-11-05 11:25:20+00:00,1,0,Italy,
29,jacquep,Pascal Jacquemain 🇫🇷in🇬🇧 #BloodyMigrant,"Still #ready4rishi, @JulianSmithUK?

Because if you are, you're no better than Braverman or Sunak. https://t.co/wbXWtxuv1R",['Julian Smith MP'],2022-11-05 10:30:14+00:00,0,1,"North Yorkshire, UK",
30,DJJASONJOY1,Jason Joy 🕵️‍♀️ (GETTR: @JasonJoy),Transitioning to Net Zero is Essential For Britain #ready4rishi #RishiSunakPM #RishiSunak 👇 https://t.co/qz7fl7YJiz,[],2022-11-05 10:21:02+00:00,0,0,https://tinyurl.com/2p9ybej2,
31,DJJASONJOY1,Jason Joy 🕵️‍♀️ (GETTR: @JasonJoy),Ready For Rishi ? #ready4rishi #RishiSunakPM #RishiSunak https://t.co/bH2oNvpc6M,[],2022-11-05 09:16:27+00:00,0,1,https://tinyurl.com/2p9ybej2,
32,emma600932,DamianScottNFT,"There we have it.... A trans Woman, is not a Woman. According to the guy, who didn't know how to use a shop. #Ready4Rishi ..... Nah. #costofliving",[],2022-11-04 15:42:04+00:00,0,0,Co Captain,
33,karn_rk,दीपक ❤️ सोनी,"@RishiSunak: Six weeks on the road and I’ve loved every second. 

Voting closes at 5pm today and every vote matters! #Ready4Rishi https:…",['Rishi Sunak'],2022-11-04 15:39:46+00:00,1,0,"Janakpur, Mithila",
34,Tommy_Charles86,Tommy,"Now the media have their puppet in number 10, notice how soft they are on him? A number of U turns, pound sinking sharply against the dollar.  Raising taxes, but hey that's ok. Just blame Russia and the global economy now. #ready4rishi",[],2022-11-04 11:49:40+00:00,0,4,"London, England",
35,Jwr_Oakley,Joseph Oakley,@JamesRPlumb Reason #516 to not be #ready4rishi,['James Plumb'],2022-11-04 11:04:04+00:00,0,2,Oxfordshire,
36,browsing5,philip ,"@TeaPoliticsUK: The UK is in a recession

#RishiSunak #ReadyForRishi #Ready4Rishi #generalelection #generalelection2022 #generalelection…",['Tea & Politics'],2022-11-04 10:11:03+00:00,1,0,,
37,TeddyRelics68,Finno,Save the #ConservativeParty and save UK. Only #RishiSunak is serious about levelling up  the cost of living crisis. Liz Truss is a disaster. Only a few days to save the Conservatives  UK government. Tough times need great leaders. #Ready4Rishi only great choice. Stop Liz,[],2022-11-04 08:53:52+00:00,0,0,"Sebokeng, South Africa",
38,Interfima,Interfima,"@TeaPoliticsUK: The UK is in a recession

#RishiSunak #ReadyForRishi #Ready4Rishi #generalelection #generalelection2022 #generalelection…",['Tea & Politics'],2022-11-03 21:11:20+00:00,1,0,Global,
39,ybakshi01,Y. Amiel Bakshi,"@TeaPoliticsUK: The UK is in a recession

#RishiSunak #ReadyForRishi #Ready4Rishi #generalelection #generalelection2022 #generalelection…",['Tea & Politics'],2022-11-03 21:07:03+00:00,1,0,"Boston, MA",
